Flag,Country,office held by head of government,head of government,office held by head of state,head of state,Wikipedia_Link
🇮🇸,Iceland,Prime Minister of Iceland,Bjarni Benediktsson,President of Iceland,Halla Tómasdóttir,https://en.wikipedia.org/wiki/Bjarni_Benediktsson
🇮🇳,India,Prime Minister of India,Narendra Modi,President of India,Droupadi Murmu,https://en.wikipedia.org/wiki/Narendra_Modi
🇮🇩,Indonesia,President of Indonesia,Joko Widodo,President of Indonesia,Joko Widodo,https://en.wikipedia.org/wiki/Joko_Widodo
🇮🇷,Iran,President of Iran,Ali Khamenei,Supreme Leader of Iran,Ali Khamenei,https://en.wikipedia.org/wiki/Ali_Khamenei
🇮🇶,Iraq,Prime Minister of Iraq,Mohammed Shia' Al Sudani,President of Iraq,Abdul Latif Rashid,https://en.wikipedia.org/wiki/Mohammed_Shia%27_Al_Sudani
🇮🇪,Ireland,Taoiseach,Leo Varadkar,President of Ireland,Michael D. Higgins,https://en.wikipedia.org/wiki/Leo_Varadkar
🇮🇱,Israel,Prime Minister of Israel,Benjamin Netanyahu,President of Israel,Isaac Herzog,https://en.wikipedia.org/wiki/Benjamin_Netanyahu
🇮🇹,Italy,Prime Minister of Italy,Giorgia Meloni,President of Italy,Sergio Mattarella,https://en.wikipedia.org/wiki/Giorgia_Meloni
🇨🇮,Ivory Coast,Prime Minister of Ivory Coast,Robert Beugré Mambé,President of the Ivory Coast,Alassane Ouattara,https://en.wikipedia.org/wiki/Robert_Beugr%C3%A9_Mamb%C3%A9
🇯🇲,Jamaica,Prime Minister of Jamaica,Andrew Holness,"monarch of Jamaica Governor-General of Jamaica",Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Andrew_Holness
🇯🇵,Japan,Prime Minister of Japan,Shigeru Ishiba,Emperor of Japan,Naruhito,https://en.wikipedia.org/wiki/Shigeru_Ishiba
🇯🇴,Jordan,Prime Minister of Jordan,Abdullah II of Jordan,King of Jordan,Abdullah II of Jordan,https://en.wikipedia.org/wiki/Abdullah_II_of_Jordan
🇰🇿,Kazakhstan,Prime Minister of Kazakhstan,Kassym-Jomart_Tokayev,President of Kazakhstan,Kassym-Jomart Tokayev,https://en.wikipedia.org/wiki/Kassym-Jomart_Tokayev
🇰🇪,Kenya,President of Kenya,William Ruto,President of Kenya,William Ruto,https://en.wikipedia.org/wiki/William_Ruto
🇳🇱,Kiribati,President,Taneti Maamau,President,Taneti Maamau,https://en.wikipedia.org/wiki/Taneti_Maamau
🇽🇰,Kosovo,Prime Minister of Kosovo,Albin Kurti,President of Kosovo,Vjosa Osmani,https://en.wikipedia.org/wiki/Albin_Kurti
🇰🇼,Kuwait,Prime Minister of Kuwait,Mishal Al-Ahmad Al-Jaber Al-Sabah,emir of Kuwait,Mishal Al-Ahmad Al-Jaber Al-Sabah,https://en.wikipedia.org/wiki/Mishal_Al-Ahmad_Al-Jaber_Al-Sabah
🇰🇬,Kyrgyzstan,Prime Minister of Kyrgyzstan,Akylbek Japarov,President of Kyrgyzstan,Sadyr Zhaparov,https://en.wikipedia.org/wiki/Akylbek_Japarov
🇱🇦,Laos,Prime Minister of Laos,Phankham Viphavan,President of Laos,Thongloun Sisoulith,https://en.wikipedia.org/wiki/Phankham_Viphavanh
🇱🇻,Latvia,Prime Minister of Latvia,Evika Siliņa,President of Latvia,Edgars Rinkēvičs,https://en.wikipedia.org/wiki/Evika_Sili%C5%86a
🇱🇧,Lebanon,Prime Minister of Lebanon,Najib Mikati,President of Lebanon,No/unknown value,https://en.wikipedia.org/wiki/Najib_Mikati
🇱🇸,Lesotho,Prime Minister of Lesotho,Sam Matekane,King of Lesotho,Letsie III of Lesotho,https://en.wikipedia.org/wiki/Sam_Matekane
🇱🇷,Liberia,President of Liberia,George Weah,President of Liberia,George Weah,https://en.wikipedia.org/wiki/George_Weah
🇱🇾,Libya,Prime Minister of Libya,Abdulhamid Dbeibeh,Chairman of the Presidential Council,Mohamed al-Menfi,https://en.wikipedia.org/wiki/Abdul_Hamid_Dbeibeh
🇱🇮,Liechtenstein,Prime Minister of Liechtenstein,Daniel Risch,Prince of Lichtenstein,"Hans-Adam II, Prince of Liechtenstein",https://en.wikipedia.org/wiki/Daniel_Risch
🇱🇹,Lithuania,Prime Minister of Lithuania,Ingrida Šimonytė,President of the Republic of Lithuania,Gitanas Nausėda,https://en.wikipedia.org/wiki/Ingrida_%C5%A0imonyt%C4%97
🇱🇺,Luxembourg,Prime Minister of Luxembourg,Xavier Bettel,Monarch of Luxembourg,"Henri, Grand Duke of Luxembourg",https://en.wikipedia.org/wiki/Xavier_Bettel
🇲🇬,Madagascar,Prime Minister of Madagascar,Christian Ntsay,President of Madagascar,Andry Rajoelina,https://en.wikipedia.org/wiki/Christian_Ntsay
🇲🇼,Malawi,President of Malawi,Lazarus Chakwera,President of Malawi,Lazarus Chakwera,https://en.wikipedia.org/wiki/Lazarus_Chakwera
🇲🇾,Malaysia,Prime Minister of Malaysia,Anwar Ibrahim,Yang di-Pertuan Agong,Ibrahim Iskandar of Johor,https://en.wikipedia.org/wiki/Anwar_Ibrahim
🇲🇻,Maldives,President of the Maldives,Mohamed Muizzu,President of the Maldives,Mohamed Muizzu,https://en.wikipedia.org/wiki/Mohamed_Muizzu
🇲🇱,Mali,Prime Minister of Mali,Choguel Kokalla Maïga,President of Mali,Assimi Goïta,https://en.wikipedia.org/wiki/Choguel_Kokalla_Ma%C3%AFga
🇲🇹,Malta,Prime Minister of Malta,Robert Abela,President of Malta,Myriam Spiteri Debono,https://en.wikipedia.org/wiki/Robert_Abela
🇲🇷,Mauritania,Prime Minister of Mauritania,Mohamed Ould Bilal,President of Mauritania,Mohamed Ould Ghazouani,https://en.wikipedia.org/wiki/Mohamed_Ould_Bilal
🇲🇺,Mauritius,Prime Minister of Mauritius,Pravind Jugnauth,President of Mauritius,Prithvirajsing Roopun,https://en.wikipedia.org/wiki/Pravind_Jugnauth
🇲🇽,Mexico,President of Mexico,Andrés Manuel López Obrador,President of Mexico,Andrés Manuel López Obrador,https://en.wikipedia.org/wiki/Andr%C3%A9s_Manuel_L%C3%B3pez_Obrador
🇲🇩,Moldova,Prime Minister of Moldova,Dorin Recean,President of Moldova,Maia Sandu,https://en.wikipedia.org/wiki/Dorin_Recean
🇲🇨,Monaco,Minister of State of Monaco,Didier Guillaume,Prince of Monaco,"Albert II, Prince of Monaco",https://en.wikipedia.org/wiki/Didier_Guillaume
🇲🇳,Mongolia,Prime Minister of Mongolia,Oyunerdene Luvsannamsrai,President of Mongolia,Khurelsukh Ukhnaa,https://en.wikipedia.org/wiki/Luvsannamsrain_Oyun-Erdene
🇲🇪,Montenegro,Prime Minister of Montenegro,Milojko Spajić,President of Montenegro,Jakov Milatović,https://en.wikipedia.org/wiki/Milojko_Spaji%C4%87
🇲🇦,Morocco,Prime Minister of Morocco,Aziz Akhannouch,King of Morocco,Mohammed VI of Morocco,https://en.wikipedia.org/wiki/Aziz_Akhannouch
🇲🇿,Mozambique,Prime Minister of Mozambique,Filipe Nyusi,President of Mozambique,Filipe Nyusi,https://en.wikipedia.org/wiki/Filipe_Nyusi
🇲🇲,Myanmar,"State Administration Council
State Counsellor of Myanmar",Min Aung Hlaing,President of Myanmar,Myint Swe,https://en.wikipedia.org/wiki/Min_Aung_Hlaing
🇳🇦,Namibia,Prime Minister of the Republic of Namibia,Saara Kuugongelwa,President of the Republic of Namibia,Nangolo Mbumba,https://en.wikipedia.org/wiki/Saara_Kuugongelwa
🇳🇷,Nauru,President of Nauru,Russ J Kun,President of Nauru,David Adeang,
🇳🇵,Nepal,Prime Minister of Nepal,Pushpa Kamal Dahal,President of Nepal,Ram Chandra Poudel,https://en.wikipedia.org/wiki/Pushpa_Kamal_Dahal
🇳🇱,Netherlands,Prime Minister of the Netherlands,Mark Rutte,King of the Netherlands,Willem-Alexander of the Netherlands,https://en.wikipedia.org/wiki/Mark_Rutte
🇳🇿,New Zealand,Prime Minister of New Zealand,Christopher Luxon,monarch of New Zealand,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Christopher_Luxon
🇳🇮,Nicaragua,Revolucionario Nicaragüense,Daniel Ortega,Revolucionario Nicaragüense,Daniel Ortega,https://en.wikipedia.org/wiki/Daniel_Ortega
🇳🇪,Niger,Prime Minister of Niger,Ali Lamine Zeine,President of Niger,Hassoumi Massoudou,https://en.wikipedia.org/wiki/Ali_Lamine_Zeine
🇳🇬,Nigeria,President of Nigeria,Bola Tinubu,President of Nigeria,Bola Tinubu,https://en.wikipedia.org/wiki/Bola_Tinubu
🇳🇺,Niue,Premier of Niue,Dalton Tagelagi,monarch of New Zealand,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/Dalton_Tagelagi
🇰🇵,North Korea,Premier of North Korea,Kim Jong Un,Supreme Leader of North Korea,Kim Jong-un,https://en.wikipedia.org/wiki/Kim_Jong_Un
🇲🇰,North Macedonia,Prime Minister of North Macedonia,Hristijan Mickoski,President of North Macedonia,Gordana Siljanovska-Davkova,https://en.wikipedia.org/wiki/Hristijan_Mickoski
🇳🇴,Norway,Prime Minister of Norway,Jonas Gahr Støre,Monarch of Norway,Harald V of Norway,https://en.wikipedia.org/wiki/Jonas_Gahr_St%C3%B8re
🇴🇲,Oman,Sultan of Oman,Haitham bin Tarik Al Said,Sultan of Oman,Haitham bin Tarik Al Said,
🇵🇰,Pakistan,Prime Minister of Pakistan,Shehbaz Sharif,President of Pakistan,Asif Ali Zardari,https://en.wikipedia.org/wiki/Shehbaz_Sharif
🇵🇼,Palau,,Surangel Whipps Jr.,President of Palau,Surangel Whipps Jr.,https://en.wikipedia.org/wiki/Surangel_Whipps_Jr.
🇵🇦,Panama,President of Panama,José Raúl Mulino,President of Panama,José Raúl Mulino,https://en.wikipedia.org/wiki/Jos%C3%A9_Ra%C3%BAl_Mulino
🇵🇬,Papua New Guinea,Prime Minister of Papua New Guinea,James Marape,monarch of Papua New Guinea,Charles III of the United Kingdom,https://en.wikipedia.org/wiki/James_Marape
🇵🇾,Paraguay,President of Paraguay,,President of Paraguay,Santiago Peña Palacios,https://en.wikipedia.org/wiki/Nan
🇨🇳,People's Republic of China,Premier of the People's Republic of China,Xi Jinping,President of the People's Republic of China,Xi Jinping,https://en.wikipedia.org/wiki/Xi_Jinping
🇵🇪,Peru,President of Peru,Dina Boluarte,President of Peru,Dina Boluarte,https://en.wikipedia.org/wiki/Dina_Boluarte
🇵🇭,Philippines,President of the Philippines,Bongbong Marcos,President of the Philippines,Bongbong Marcos,https://en.wikipedia.org/wiki/Bongbong_Marcos
🇵🇱,Poland,Prime Minister of Poland,Donald Tusk,President of the Republic of Poland,Andrzej Duda,https://en.wikipedia.org/wiki/Donald_Tusk
🇵🇹,Portugal,Prime Minister of Portugal,António Costa,President of Portugal,Marcelo Rebelo de Sousa,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Costa
🇶🇦,Qatar,Prime Minister of Qatar,Tamim bin Hamad Al Thani,Emir of the State of Qatar,Tamim bin Hamad Al Thani,https://en.wikipedia.org/wiki/Tamim_bin_Hamad_Al_Thani
🇨🇬,Republic of the Congo,Prime Minister of the Republic of the Congo,Clément Mouamba,President of the Republic of the Congo,Denis Sassou-Nguesso,https://en.wikipedia.org/wiki/Cl%C3%A9ment_Mouamba
🇷🇴,Romania,Prime Minister of Romania,Klaus Iohannis,president of Romania,Klaus Iohannis,https://en.wikipedia.org/wiki/Klaus_Iohannis
🇷🇺,Russia,Prime Minister of Russia,Vladimir Putin,President of Russia,Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
🇷🇼,Rwanda,Prime Minister of Rwanda,Édouard Ngirente,President of Rwanda,Paul Kagame,https://en.wikipedia.org/wiki/%C3%89douard_Ngirente
