product_id,actual_price,rating,category_Car&Motorbike,category_Computers&Accessories,category_Electronics,category_Health&PersonalCare,category_Home&Kitchen,category_HomeImprovement,category_MusicalInstruments,category_OfficeProducts,category_Toys&Games
B0B1YZX72F,40990.0,4.3,False,False,True,False,False,False,False,False,False
B092BJMT8Q,52900.0,4.3,False,False,True,False,False,False,False,False,False
B0BMXMLSMM,999.0,4.5,False,True,False,False,False,False,False,False,False
B07JH1C41D,1999.0,4.2,False,True,False,False,False,False,False,False,False
B0141EZMAI,800.0,3.6,False,True,False,False,False,False,False,False,False
B09Q5P2MT3,31999.0,4.2,False,False,True,False,False,False,False,False,False
B08HDH26JX,699.0,4.2,False,True,False,False,False,False,False,False,False
B09VT6JKRP,999.0,4.1,False,True,False,False,False,False,False,False,False
B09T3KB6JZ,40990.0,4.2,False,False,True,False,False,False,False,False,False
B093QCY6YJ,349.0,3.7,False,True,False,False,False,False,False,False,False
B093ZNQZ2Y,799.0,3.8,False,False,True,False,False,False,False,False,False
B08LKS3LSP,999.0,3.7,False,True,False,False,False,False,False,False,False
B00V4BGDKU,1899.0,4.5,False,True,False,False,False,False,False,False,False
B08CHKQ8D4,1499.0,4.1,False,True,False,False,False,False,False,False,False
B09BW334ML,1499.0,4.3,False,False,True,False,False,False,False,False,False
B082T6GVLJ,1809.0,4.3,False,True,False,False,False,False,False,False,False
B07DL1KC3H,899.0,4.0,False,False,True,False,False,False,False,False,False
B0B6F98KJJ,29999.0,4.2,False,False,True,False,False,False,False,False,False
B07JNVF678,999.0,4.2,False,True,False,False,False,False,False,False,False
B09QGZFBPM,999.0,4.3,False,True,False,False,False,False,False,False,False
B07JGDB5M1,1299.0,4.2,False,True,False,False,False,False,False,False,False
B0981XSZJ7,999.0,4.3,False,True,False,False,False,False,False,False,False
B0B9XLX8VR,65000.0,4.3,False,False,True,False,False,False,False,False,False
B08Y5KXR6Z,800.0,3.9,False,True,False,False,False,False,False,False,False
B09F6VHQXB,20000.0,4.1,False,False,True,False,False,False,False,False,False
B0974G5Q2Y,999.0,4.3,False,True,False,False,False,False,False,False,False
B09YL9SN9B,23990.0,4.3,False,False,True,False,False,False,False,False,False
B09RX1FK54,999.0,4.1,False,True,False,False,False,False,False,False,False
B09TT6BFDX,1999.0,4.5,False,False,True,False,False,False,False,False,False
B09KH58JZR,399.0,4.1,False,True,False,False,False,False,False,False,False
B09DDCQFMT,1999.0,3.6,False,False,True,False,False,False,False,False,False
B08RP2L2NL,999.0,3.5,False,True,False,False,False,False,False,False,False
B0B4G2MWSB,999.0,4.0,False,True,False,False,False,False,False,False,False
B0B21C4BMX,899.0,3.8,False,True,False,False,False,False,False,False,False
B084MZXJNK,1999.0,4.4,False,True,False,False,False,False,False,False,False
B0BHZCNC4P,3999.0,3.7,False,False,True,False,False,False,False,False,False
B0B16KD737,15999.0,4.3,False,False,True,False,False,False,False,False,False
B099K9ZX65,44990.0,4.1,False,False,True,False,False,False,False,False,False
B08Y55LPBF,44999.0,4.2,False,False,True,False,False,False,False,False,False
B015OW3M1W,1700.0,4.1,False,False,True,False,False,False,False,False,False
B01D5H8ZI8,595.0,4.3,False,False,True,False,False,False,False,False,False
B09X1M3DHX,27990.0,4.2,False,False,True,False,False,False,False,False,False
B09MM6P76N,599.0,4.2,False,False,True,False,False,False,False,False,False
B01D5H8LDM,1200.0,4.4,False,False,True,False,False,False,False,False,False
B0B1YY6JJL,34990.0,4.3,False,False,True,False,False,False,False,False,False
B09QGZM8QB,999.0,4.3,False,True,False,False,False,False,False,False,False
B08L4SBJRY,1299.0,4.0,False,False,True,False,False,False,False,False,False
B09X79PP8F,299.0,3.9,False,True,False,False,False,False,False,False,False
B082T6GVG9,1500.0,4.2,False,True,False,False,False,False,False,False,False
B0B3XY5YT4,49990.0,4.3,False,False,True,False,False,False,False,False,False
B0B4HKH19N,931.0,3.9,False,True,False,False,False,False,False,False,False
B08TGG316Z,2399.0,4.6,False,False,True,False,False,False,False,False,False
B071VMP1Z4,399.0,3.9,False,False,True,False,False,False,False,False,False
B071SDRGWL,699.0,4.3,False,True,False,False,False,False,False,False,False
B08PSQRW2T,1099.0,4.1,False,True,False,False,False,False,False,False,False
B0859M539M,2999.0,4.4,False,True,False,False,False,False,False,False,False
B08RX8G496,1099.0,3.2,False,False,True,False,False,False,False,False,False
B002SZEOLG,1339.0,4.2,False,True,False,False,False,False,False,False,False
B08CS3BT4L,12999.0,4.2,False,False,True,False,False,False,False,False,False
B00RFWNJMC,499.0,3.7,False,False,True,False,False,False,False,False,False
B082T6GXS5,2100.0,4.5,False,True,False,False,False,False,False,False,False
B09CMQRQM6,899.0,4.2,False,True,False,False,False,False,False,False,False
B005LJQMCK,599.0,4.2,False,False,True,False,False,False,False,False,False
B09C6H53KH,699.0,4.2,False,True,False,False,False,False,False,False,False
B0BB3CBFBM,65000.0,4.1,False,False,True,False,False,False,False,False,False
B08QSDKFGQ,1099.0,4.3,False,True,False,False,False,False,False,False,False
B08PV1X771,20900.0,4.3,False,False,True,False,False,False,False,False,False
B07YTNKVJQ,1299.0,4.3,False,True,False,False,False,False,False,False,False
B0117H7GZ6,399.0,3.4,False,True,False,False,False,False,False,False,False
B09XJ1LM7R,799.0,4.3,False,False,True,False,False,False,False,False,False
B084N133Y7,1999.0,4.4,False,True,False,False,False,False,False,False,False
B088Z1YWBC,15990.0,3.9,False,False,True,False,False,False,False,False,False
B07VSG5SXZ,1499.0,4.1,False,False,True,False,False,False,False,False,False
B08RWCZ6SY,899.0,3.9,False,False,True,False,False,False,False,False,False
B07KSB1MLX,1600.0,4.0,False,False,True,False,False,False,False,False,False
B081FG1QYX,999.0,4.3,False,True,False,False,False,False,False,False,False
B08R69WBN7,499.0,4.0,False,True,False,False,False,False,False,False,False
B0B3RHX6B6,399.0,3.9,False,True,False,False,False,False,False,False,False
B084N18QZY,849.0,4.5,False,True,False,False,False,False,False,False,False
B081NHWT6Z,1199.0,3.9,False,False,True,False,False,False,False,False,False
B07JPJJZ2H,1299.0,4.2,False,True,False,False,False,False,False,False,False
B09JKNF147,1999.0,4.0,False,False,True,False,False,False,False,False,False
B0B9959XF3,22990.0,4.3,False,False,True,False,False,False,False,False,False
B09PNR6F8Q,399.0,4.0,False,True,False,False,False,False,False,False,False
B07M69276N,2499.0,4.4,False,True,False,False,False,False,False,False,False
B0B1YZ9CB8,47990.0,4.3,False,False,True,False,False,False,False,False,False
B09YLYB9PB,399.0,4.0,False,True,False,False,False,False,False,False,False
B08CTNJ985,999.0,4.3,False,True,False,False,False,False,False,False,False
B0BP7XLX48,1999.0,5.0,False,True,False,False,False,False,False,False,False
B09LHXNZLR,499.0,3.7,False,True,False,False,False,False,False,False,False
B0B3N8VG24,299.0,4.0,False,True,False,False,False,False,False,False,False
B08PSVBB2X,1099.0,4.1,False,True,False,False,False,False,False,False,False
B0B3MQXNFB,199.0,4.0,False,True,False,False,False,False,False,False,False
B08XMSKKMM,1999.0,3.3,False,False,True,False,False,False,False,False,False
B09L8DT7D6,499.0,3.8,False,False,True,False,False,False,False,False,False
B00GE55L22,699.0,4.1,False,True,False,False,False,False,False,False,False
B0162K34H2,999.0,4.1,False,True,False,False,False,False,False,False,False
B0B8SRZ5SV,1999.0,4.4,False,True,False,False,False,False,False,False,False
B07CWNJLPC,1200.0,4.3,False,True,False,False,False,False,False,False,False
B00NH12R1O,485.0,4.3,False,True,False,False,False,False,False,False,False
B0B8SSC5D9,1999.0,4.4,False,True,False,False,False,False,False,False,False
B08WKG2MWT,1099.0,4.3,False,True,False,False,False,False,False,False,False
B0B466C3G4,18990.0,3.9,False,False,True,False,False,False,False,False,False
B005LJQMZC,1999.0,4.2,False,False,True,False,False,False,False,False,False
B07MDRGHWQ,11000.0,4.2,False,False,True,False,False,False,False,False,False
B07DC4RZPY,1999.0,4.1,False,True,False,False,False,False,False,False,False
B0B15GSPQW,70900.0,4.3,False,False,True,False,False,False,False,False,False
B08GJNM9N7,1199.0,3.7,False,False,True,False,False,False,False,False,False
B09C6FML9B,599.0,4.1,False,True,False,False,False,False,False,False,False
B0B65MJ45G,549.0,3.9,False,True,False,False,False,False,False,False,False
B08P9RYPLR,249.0,4.0,False,True,False,False,False,False,False,False,False
B0B6F8HHR6,35999.0,4.2,False,False,True,False,False,False,False,False,False
B084MZXJN6,1699.0,4.4,False,True,False,False,False,False,False,False,False
B08XMG618K,499.0,4.1,False,True,False,False,False,False,False,False,False
B0BCKWZ884,2999.0,4.3,False,False,True,False,False,False,False,False,False
B00GGGOYEK,699.0,3.8,False,True,False,False,False,False,False,False,False
B07ZR4S1G4,699.0,4.4,False,False,True,False,False,False,False,False,False
B09C635BMM,999.0,4.0,False,False,True,False,False,False,False,False,False
B00GG59HU2,599.0,4.4,False,False,True,False,False,False,False,False,False
B00RGLI0ZS,599.0,4.0,False,True,False,False,False,False,False,False,False
B09ZPJT8B2,31990.0,4.2,False,False,True,False,False,False,False,False,False
B07HZ2QCGR,599.0,3.9,False,True,False,False,False,False,False,False,False
B095244Q22,999.0,3.7,False,True,False,False,False,False,False,False,False
B08CKW1KH9,599.0,3.6,False,False,True,False,False,False,False,False,False
B0BLV1GNLN,9990.0,4.0,False,False,True,False,False,False,False,False,False
B08RHPDNVV,599.0,3.5,False,False,True,False,False,False,False,False,False
B00NH13Q8W,800.0,4.5,False,True,False,False,False,False,False,False,False
B0B8SSZ76F,1999.0,4.2,False,True,False,False,False,False,False,False,False
B0841KQR1Z,999.0,3.8,False,False,True,False,False,False,False,False,False
B0B467CCB9,16990.0,3.8,False,False,True,False,False,False,False,False,False
B095JQVC7N,59999.0,4.1,False,False,True,False,False,False,False,False,False
B08PPHFXG3,999.0,4.3,False,False,True,False,False,False,False,False,False
B06XR9PR5X,600.0,4.4,False,False,True,False,False,False,False,False,False
B09JSW16QD,1490.0,3.9,False,True,False,False,False,False,False,False,False
